LSOA name,LSOA code,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
Bexley 002A,E01000416,1630,63,112,152,112,98,239,312,324,133,63,22
Bexley 002B,E01000418,1947,120,141,161,92,124,282,426,360,146,73,22
Bexley 002C,E01000422,1338,92,113,152,82,71,183,288,274,51,25,7
Bexley 002D,E01000464,1518,66,106,158,104,95,160,317,335,107,60,10
Bexley 002E,E01000465,1688,120,137,141,65,104,226,350,348,109,69,19
Bexley 002F,E01000470,1306,114,103,128,57,91,170,274,242,86,37,4
Bexley 003A,E01000333,1914,142,127,143,81,92,294,411,324,156,101,43
Bexley 003B,E01000335,2726,229,197,181,104,171,569,661,410,133,54,17
Bexley 003C,E01000336,1998,154,165,194,91,132,296,443,327,113,61,22
Bexley 003D,E01000337,1738,133,129,146,82,93,277,356,332,119,49,22
Bexley 003E,E01000338,1854,103,137,145,89,97,299,439,345,110,72,18
Bexley 004A,E01000403,2404,178,205,187,89,114,346,471,391,201,140,82
Bexley 004B,E01000404,2423,250,243,240,109,140,433,591,304,65,35,13
Bexley 004C,E01000405,1576,138,115,156,98,106,230,355,277,63,29,9
Bexley 004D,E01000408,1773,124,135,174,86,116,262,404,301,99,57,15
Bexley 005A,E01000332,1595,83,91,102,56,94,200,306,304,163,131,65
Bexley 005B,E01000402,1603,115,116,133,79,86,207,314,304,154,70,25
Bexley 005C,E01000406,2144,202,175,169,74,123,399,484,347,109,47,15
Bexley 005D,E01000407,1869,100,118,133,69,79,265,392,305,189,150,69
Bexley 006A,E01000334,1674,96,107,150,67,87,203,333,325,167,101,38
Bexley 006B,E01000417,1741,109,112,129,62,84,223,379,349,158,96,40
Bexley 006C,E01000419,1492,84,80,96,46,79,154,277,302,168,147,59
Bexley 006D,E01000420,1522,98,88,97,73,71,164,270,350,148,108,55
Bexley 006E,E01000442,1679,84,97,130,77,91,192,311,381,171,102,43
Bexley 007A,E01000437,1373,70,84,109,66,95,155,258,316,115,76,29
Bexley 007B,E01000438,1689,126,129,158,90,85,221,336,314,137,72,21
Bexley 007C,E01000439,1423,88,90,151,72,87,182,305,256,123,50,19
Bexley 007D,E01000440,1387,51,68,90,67,83,143,256,300,181,112,36
Bexley 007E,E01000441,1806,120,154,198,105,89,221,404,322,113,63,17
Bexley 008A,E01000373,1326,141,139,139,56,58,288,289,152,31,25,8
Bexley 008B,E01000429,1690,152,149,164,61,94,231,433,301,70,28,7
Bexley 008C,E01000430,2051,120,182,225,128,132,242,470,390,93,39,30
Bexley 008D,E01000431,1198,85,78,123,72,90,144,236,244,74,42,10
Bexley 008F,E01000433,1957,154,147,221,113,125,272,407,340,106,53,19
Bexley 008G,E01000434,1594,98,119,155,99,120,203,299,340,86,52,23
Bexley 008H,E01033789,1768,176,181,163,76,89,337,493,184,39,20,10
Bexley 008I,E01033790,1338,84,95,144,68,78,174,264,279,82,47,23
Bexley 009A,E01000356,1567,95,94,106,53,59,157,294,297,174,159,79
Bexley 009B,E01000357,1399,71,85,119,70,86,134,293,310,126,77,28
Bexley 009C,E01000359,1263,66,61,84,51,67,131,237,268,156,111,31
Bexley 009D,E01000421,1520,73,72,91,48,91,119,279,337,210,139,61
Bexley 009E,E01000450,1800,101,126,180,105,103,201,410,346,120,74,34
Bexley 009F,E01000451,1750,101,110,119,76,104,242,340,378,161,86,33
Bexley 009G,E01000452,1421,79,78,110,74,83,187,295,291,138,68,18
Bexley 010A,E01000367,2264,160,198,229,130,104,345,461,375,150,85,27
Bexley 010B,E01000368,1678,124,140,164,87,86,213,380,313,100,48,23
Bexley 010C,E01000372,1690,87,129,170,76,108,199,358,321,129,87,26
Bexley 010D,E01000380,1737,85,72,97,47,80,296,345,369,203,107,36
Bexley 010E,E01000435,1490,108,116,121,76,96,210,272,285,107,70,29
Bexley 011A,E01000353,1634,49,94,103,54,73,133,285,357,243,168,75
Bexley 011B,E01000354,1491,74,93,91,75,89,180,274,341,149,82,43
Bexley 011C,E01000355,1437,68,72,68,47,71,158,233,310,209,152,49
Bexley 011D,E01000358,1659,79,100,123,68,77,205,327,333,188,108,51
Bexley 011E,E01000436,1760,99,115,146,90,87,159,361,325,193,123,62
Bexley 013A,E01000401,1816,107,101,149,94,92,249,355,316,145,142,66
Bexley 013B,E01000453,1479,95,88,109,85,79,181,331,270,127,88,26
Bexley 013C,E01000454,1632,111,87,110,77,88,220,346,334,131,91,37
Bexley 013D,E01000455,1794,82,106,137,96,106,178,419,393,152,81,44
Bexley 013E,E01000456,1423,78,91,122,64,77,161,301,296,137,63,33
Bexley 014A,E01000325,1647,94,87,120,83,106,160,325,355,166,109,42
Bexley 014B,E01000326,1382,114,110,97,35,64,254,321,211,94,63,19
Bexley 014C,E01000369,1731,84,125,119,76,73,193,351,349,195,115,51
Bexley 014D,E01000370,1559,81,88,90,65,59,178,301,325,185,131,56
Bexley 014E,E01000371,1623,127,109,97,59,90,245,344,267,149,98,38
Bexley 015A,E01000360,1911,116,104,130,73,95,287,411,347,150,116,82
Bexley 015B,E01000362,1863,104,123,139,60,95,292,377,310,162,128,73
Bexley 015C,E01000365,1729,108,116,114,64,83,198,356,290,159,149,92
Bexley 015D,E01000366,1642,111,123,94,60,77,216,409,322,130,73,27
Bexley 015E,E01000394,1628,76,96,118,53,79,219,336,288,145,122,96
Bexley 016A,E01000388,1512,79,96,105,54,57,145,292,312,176,143,53
Bexley 016B,E01000392,1959,132,151,182,75,107,349,454,313,129,42,25
Bexley 016C,E01000409,1741,108,134,123,69,71,208,391,341,159,99,38
Bexley 016D,E01000411,1493,82,92,102,86,78,180,308,301,145,92,27
Bexley 016E,E01000414,1896,104,118,135,90,97,281,439,321,150,100,61
Bexley 016F,E01000415,1466,54,81,99,59,79,169,290,334,183,77,41
Bexley 017A,E01000327,1629,82,91,141,65,82,135,307,345,202,126,53
Bexley 017B,E01000328,1637,85,88,151,69,82,159,328,305,173,123,74
Bexley 017C,E01000329,1695,122,129,121,72,86,231,347,331,131,88,37
Bexley 017D,E01000330,1656,95,88,103,49,75,217,329,330,178,122,70
Bexley 017E,E01000331,1684,128,111,155,84,86,213,359,308,120,83,37
Bexley 018A,E01000340,1584,117,95,102,60,94,180,315,311,168,96,46
Bexley 018B,E01000395,1530,84,75,117,73,74,150,327,345,154,93,38
Bexley 018C,E01000396,1453,82,98,112,42,78,179,298,307,133,89,35
Bexley 018D,E01000410,1660,103,116,146,69,92,190,381,318,146,64,35
Bexley 018E,E01000412,1766,112,102,169,71,105,237,407,335,123,61,44
Bexley 018F,E01000413,1348,65,91,94,68,80,175,274,273,116,75,37
Bexley 019A,E01000374,1580,98,113,193,115,88,196,321,288,88,60,20
Bexley 019B,E01000375,2125,155,182,150,103,109,386,489,343,122,70,16
Bexley 019C,E01000376,1614,92,117,121,82,98,232,359,285,138,69,21
Bexley 019D,E01000377,1473,85,85,87,55,64,227,294,296,129,115,36
Bexley 019F,E01000379,1711,84,99,153,81,112,238,341,349,144,85,25
Bexley 019G,E01033791,1384,113,100,96,52,79,297,286,229,66,53,13
Bexley 019H,E01033792,1380,83,73,107,57,58,213,305,275,112,58,39
Bexley 020A,E01000348,1514,77,80,133,68,84,135,324,331,143,108,31
Bexley 020B,E01000349,1726,109,113,123,73,91,169,340,332,197,121,58
Bexley 020C,E01000361,1591,95,98,127,62,81,213,320,358,138,73,26
Bexley 020D,E01000363,1560,102,86,113,59,88,165,290,336,186,97,38
Bexley 020E,E01000389,1700,82,105,127,64,66,203,404,289,182,123,55
Bexley 020F,E01000390,1327,79,86,94,53,73,159,246,270,147,96,24
Bexley 020G,E01000393,1697,92,139,129,58,66,217,408,335,154,77,22
Bexley 021A,E01000346,1592,99,105,105,72,85,203,312,316,157,96,42
Bexley 021B,E01000347,1521,103,102,90,76,81,213,267,276,166,110,37
Bexley 021C,E01000350,1487,90,77,108,79,110,182,291,300,136,77,37
Bexley 021D,E01000352,1617,89,100,139,71,96,208,318,314,140,101,41
Bexley 021E,E01000391,1751,109,133,137,80,91,233,390,317,145,78,38
Bexley 022A,E01000341,1540,66,76,114,66,93,143,267,345,176,142,52
Bexley 022B,E01000342,1524,78,98,107,65,73,212,306,340,124,94,27
Bexley 022C,E01000343,1509,80,103,122,75,69,169,304,308,154,90,35
Bexley 022D,E01000345,1342,62,85,103,55,77,151,239,317,149,82,22
Bexley 022E,E01000460,1261,69,74,87,39,46,122,242,308,178,74,22
Bexley 023A,E01000364,1694,86,113,141,68,73,198,366,360,128,119,42
Bexley 023B,E01000444,1641,94,69,112,88,54,137,303,375,223,136,50
Bexley 023C,E01000447,1960,133,121,121,73,91,354,436,346,126,116,43
Bexley 023D,E01000448,1346,57,61,112,56,91,106,252,292,140,121,58
Bexley 023E,E01000449,1562,84,77,102,61,65,155,277,324,174,149,94
Bexley 024A,E01000351,1613,110,86,97,54,93,184,312,336,149,147,45
Bexley 024B,E01000443,1331,77,95,108,51,85,156,284,264,109,74,28
Bexley 024C,E01000445,1666,89,97,124,79,67,166,329,331,167,150,67
Bexley 024D,E01000446,1504,78,98,108,49,89,225,317,304,141,79,16
Bexley 024E,E01000461,1640,92,86,135,73,110,176,318,338,159,114,39
Bexley 025A,E01000339,1620,92,105,134,89,99,184,295,327,158,92,45
Bexley 025B,E01000344,1589,79,91,126,79,110,175,313,315,151,110,40
Bexley 025C,E01000423,1606,92,109,107,64,90,158,317,332,143,130,64
Bexley 025D,E01000425,1800,113,108,120,73,70,145,362,356,195,166,92
Bexley 025E,E01000463,1250,74,74,95,55,70,151,253,262,130,61,25
Bexley 026A,E01000424,1728,58,76,91,85,98,240,328,365,164,147,76
Bexley 026B,E01000426,1672,106,102,101,61,84,287,361,316,155,78,21
Bexley 026C,E01000427,2011,114,121,117,71,128,267,344,373,224,182,70
Bexley 026D,E01000457,2175,116,113,115,127,205,403,459,271,142,121,103
Bexley 026E,E01000462,2053,96,89,112,140,219,318,372,303,156,139,109
Bexley 027A,E01000382,1570,78,79,133,75,87,143,311,335,159,121,49
Bexley 027B,E01000384,1720,117,97,105,69,100,244,352,325,182,85,44
Bexley 027C,E01000387,1556,79,93,103,64,80,155,307,334,196,99,46
Bexley 027D,E01000428,1905,132,85,119,68,110,321,352,312,149,154,103
Bexley 027E,E01000458,1543,57,79,106,68,82,133,276,312,174,155,101
Bexley 027F,E01000459,1870,86,102,97,82,126,251,329,351,179,170,97
Bexley 028A,E01000381,1618,98,119,123,74,85,203,313,331,137,97,38
Bexley 028B,E01000383,1593,99,98,96,51,91,155,272,357,190,139,45
Bexley 028C,E01000385,2007,143,170,207,122,112,274,429,304,142,73,31
Bexley 028D,E01000386,1538,88,93,127,80,107,199,296,285,138,76,49
Bexley 029A,E01000398,1593,86,80,126,76,84,175,329,346,153,103,35
Bexley 029B,E01000399,1571,84,90,105,67,74,175,316,322,165,124,49
Bexley 029C,E01000400,1573,79,85,116,70,81,204,317,347,150,89,35
Bexley 029D,E01032566,1887,128,114,137,87,66,286,437,372,127,93,40
Brent 001A,E01000587,1626,88,85,93,70,115,301,346,270,142,76,40
Brent 001B,E01000589,2549,148,139,174,124,176,455,593,417,181,105,37
Brent 001C,E01000590,1934,125,101,113,88,134,313,421,334,151,108,46
Brent 001D,E01000592,1831,90,94,134,55,117,297,429,320,174,99,22
Brent 001E,E01000593,2120,123,123,143,100,175,366,449,382,156,80,23
Brent 001F,E01000594,1813,94,107,116,62,136,372,420,274,120,85,27
Brent 002A,E01000513,1680,90,84,144,91,128,209,349,320,129,85,51
Brent 002B,E01000514,1570,78,93,132,98,117,235,370,268,108,58,13
Brent 002C,E01000516,2347,171,107,165,117,166,526,512,345,116,86,36
Brent 002D,E01000520,1676,88,109,142,73,96,241,373,306,119,91,38
Brent 002F,E01033929,1345,119,60,104,82,77,364,402,107,26,3,1
Brent 002G,E01033930,1842,106,82,123,90,129,309,356,365,181,73,28
Brent 003A,E01000515,1877,134,120,154,103,126,278,451,322,118,59,12
Brent 003B,E01000517,1623,68,84,132,61,106,239,353,278,170,87,45
Brent 003E,E01000543,1626,77,102,99,60,120,258,361,281,146,87,35
Brent 003F,E01000591,2181,141,115,139,102,157,424,484,351,159,81,28
Brent 003G,E01033463,3157,145,163,194,110,209,551,684,556,299,168,78
Brent 004A,E01000536,1562,69,83,108,61,72,215,307,289,166,134,58
Brent 004B,E01000538,1620,116,118,115,63,75,214,307,277,193,96,46
Brent 004C,E01000539,1582,89,79,117,57,89,182,366,258,188,108,49
Brent 004D,E01000540,1457,72,74,69,40,84,229,284,246,196,129,34
Brent 004E,E01000541,1410,95,61,91,51,88,212,350,238,126,73,25
Brent 005A,E01000518,1914,91,109,126,82,140,311,420,393,133,73,36
Brent 005B,E01000519,2016,129,106,165,113,137,346,428,379,123,64,26
Brent 005C,E01000623,1881,126,102,139,84,107,313,430,321,140,81,38
Brent 005D,E01000624,1745,97,102,116,62,122,243,353,317,163,114,56
Brent 005E,E01000629,1977,113,121,135,101,130,304,431,372,137,101,32
Brent 006A,E01000480,1689,71,90,122,88,114,268,332,340,150,83,31
Brent 006B,E01000484,1765,94,108,147,116,141,256,353,368,119,45,18
Brent 006C,E01000485,1606,76,80,119,66,92,201,332,277,136,118,109
Brent 006D,E01000486,1702,93,100,124,98,110,264,353,282,150,91,37
Brent 006E,E01000487,1988,105,112,148,95,139,303,457,283,177,93,76
Brent 007A,E01000572,1497,96,98,116,57,87,236,317,244,136,79,31
Brent 007B,E01000573,1671,122,91,94,80,136,340,328,247,126,75,32
Brent 007C,E01000574,1652,136,90,92,74,175,281,351,252,121,55,25
Brent 007D,E01000575,2153,154,133,112,75,136,504,528,324,101,54,32
Brent 007E,E01000577,2583,218,189,277,126,195,504,532,405,81,40,16
Brent 008A,E01000562,1510,49,71,102,71,74,197,276,314,195,118,43
Brent 008B,E01000563,1589,64,64,89,92,100,231,282,320,182,117,48
Brent 008C,E01000566,1553,73,82,104,76,108,216,316,283,162,95,38
Brent 008D,E01000568,2222,112,75,64,201,319,464,421,361,93,66,46
Brent 008E,E01000569,1457,57,67,69,68,112,186,261,315,166,118,38
Brent 009A,E01000479,1757,74,89,139,79,120,242,367,329,169,113,36
Brent 009B,E01000481,1638,105,141,123,83,102,251,414,236,108,60,15
Brent 009D,E01000483,1854,128,128,172,120,126,279,383,340,115,43,20
Brent 009E,E01000625,1672,94,82,120,105,124,232,349,294,134,93,45
Brent 009F,E01033931,1359,95,98,111,69,80,209,334,226,65,37,35
Brent 009G,E01033932,1659,70,76,161,95,115,274,312,330,120,65,41
Brent 010B,E01000498,1686,110,138,176,96,121,220,304,316,105,64,36
Brent 010D,E01000622,1980,212,170,179,66,101,262,483,354,76,63,14
Brent 010E,E01000626,1545,111,103,131,69,103,260,326,283,93,53,13
Brent 010G,E01033933,1481,99,107,172,122,121,181,244,266,86,65,18
Brent 010H,E01033934,1637,85,106,207,127,141,199,313,263,103,68,25
Brent 011A,E01000497,2071,95,72,117,93,148,358,380,485,157,130,36
Brent 011B,E01000499,1897,130,135,186,115,160,335,369,298,96,51,22
Brent 011C,E01000501,2028,139,152,174,112,192,298,388,369,100,77,27
Brent 011D,E01000502,1881,157,171,163,95,98,281,414,308,91,65,38
Brent 011E,E01000503,2091,132,134,161,89,125,317,470,368,169,82,44
Brent 012A,E01000570,1546,59,68,82,72,108,265,335,320,132,77,28
Brent 012B,E01000571,1763,64,76,95,79,124,318,357,369,136,102,43
Brent 012C,E01000576,1875,92,109,112,71,145,368,404,296,137,109,32
Brent 012D,E01000578,2323,144,171,167,99,111,347,548,387,164,106,79
Brent 013A,E01000564,1624,108,109,147,61,108,295,372,265,92,46,21
Brent 013B,E01000565,1532,72,97,143,76,102,183,334,285,144,78,18
Brent 013C,E01000607,2591,190,134,165,132,247,490,565,390,145,90,43
Brent 013D,E01000608,2338,172,150,142,95,137,414,559,419,139,79,32
Brent 013E,E01000613,1754,133,106,122,76,106,340,412,291,103,51,14
Brent 014A,E01000506,1661,96,134,109,74,118,282,404,318,80,32,14
Brent 014B,E01000509,1437,53,104,116,74,103,217,301,271,89,88,21
Brent 014C,E01000510,1672,118,127,118,82,126,298,345,237,131,56,34
Brent 014D,E01000511,1771,186,128,120,100,147,244,384,256,130,53,23
Brent 014E,E01000627,2048,102,129,153,105,190,328,421,384,119,86,31
Brent 014F,E01000628,1767,83,84,135,74,120,289,409,358,138,53,24
Brent 015A,E01000553,2041,113,115,126,77,145,388,461,398,125,71,22
Brent 015B,E01000554,1970,128,116,174,77,112,296,546,309,122,62,28
Brent 015C,E01000555,1585,73,86,136,81,119,256,315,294,129,68,28
Brent 015D,E01000556,2088,124,72,87,50,153,473,566,413,107,32,11
Brent 015E,E01000557,1865,87,95,102,63,156,371,524,297,101,48,21
Brent 015F,E01000558,1389,58,83,101,39,88,260,312,259,114,58,17
Brent 016A,E01000567,1399,87,82,112,73,72,191,295,283,113,64,27
Brent 016B,E01000606,1872,101,104,135,118,152,324,410,306,115,79,28
Brent 016C,E01000609,2060,113,132,150,105,135,361,465,348,154,72,25
Brent 016D,E01000611,1925,134,99,153,82,119,399,472,277,112,64,14
Brent 018A,E01000504,1797,115,133,104,56,147,326,412,306,116,58,24
Brent 018B,E01000505,1675,123,80,126,70,126,328,308,281,116,87,30
Brent 018C,E01000507,1621,77,96,114,54,123,252,380,267,143,73,42
Brent 018D,E01000512,1703,83,93,118,107,130,247,377,314,126,79,29
Brent 018E,E01000559,1382,53,44,48,62,79,296,318,307,104,58,13
Brent 019A,E01000610,2187,134,134,169,109,144,331,490,387,157,80,52
Brent 019B,E01000612,1765,90,101,144,87,98,306,451,276,139,53,20
Brent 019C,E01000631,2073,123,111,125,94,138,393,442,349,173,91,34
Brent 019D,E01000633,2616,189,194,192,126,181,511,586,407,141,60,29
Brent 019E,E01000634,2641,162,168,212,143,233,424,661,416,133,59,30
Brent 020A,E01000616,1934,85,107,112,85,148,322,540,355,111,43,26
Brent 020B,E01000620,1750,68,92,104,74,111,274,361,338,152,100,76
Brent 020C,E01000621,1811,89,112,123,77,118,308,426,343,103,80,32
Brent 020E,E01000636,2602,163,140,184,104,187,475,624,436,158,88,43
Brent 020F,E01033935,2008,105,112,162,73,145,346,609,320,70,47,19
Brent 020G,E01033936,1643,97,91,100,70,159,392,435,210,55,27,7
Brent 021A,E01000596,1849,116,155,237,110,124,254,317,340,126,55,15
Brent 021B,E01000601,1385,58,84,162,138,114,160,263,294,64,34,14
Brent 021C,E01000602,1455,64,81,144,97,121,183,264,323,94,62,22
Brent 021D,E01000603,1443,120,110,125,79,94,221,302,251,80,41,20
Brent 021E,E01000604,1741,80,111,192,125,159,263,279,349,109,51,23
Brent 021F,E01000605,1763,60,109,194,160,146,195,343,349,134,55,18
Brent 022A,E01000488,1648,81,81,116,96,144,325,349,292,98,48,18
Brent 022B,E01000637,1508,78,70,109,47,99,320,350,251,108,46,30
Brent 022C,E01000639,1714,96,76,105,54,133,350,473,297,74,40,16
Brent 022D,E01000642,2214,99,86,97,60,169,589,569,351,105,54,35
Brent 022E,E01000644,1914,111,90,101,77,124,405,471,324,136,43,32
Brent 023A,E01000490,1771,101,93,63,34,138,440,469,297,80,44,12
Brent 023B,E01000494,1761,82,81,122,70,121,330,413,242,144,90,66
Brent 023C,E01000495,1590,63,82,75,35,129,354,360,266,112,86,28
Brent 023D,E01000560,1561,70,62,118,49,105,343,341,283,127,46,17
Brent 023E,E01000561,1936,100,96,125,73,133,522,410,307,109,44,17
Brent 024A,E01000638,2140,179,148,154,107,144,347,568,322,109,44,18
Brent 024B,E01000640,2216,180,142,161,131,164,386,489,394,94,61,14
Brent 024C,E01000641,1951,144,155,142,86,141,318,498,300,84,67,16
Brent 024D,E01000643,2244,110,137,223,121,140,282,514,506,114,66,31
Brent 025A,E01000508,2613,205,184,390,157,142,298,634,357,134,76,36
Brent 025B,E01000521,2277,146,134,194,152,204,344,441,494,100,50,18
Brent 025C,E01000522,2051,140,183,201,104,155,228,478,395,84,58,25
Brent 025D,E01000526,2199,122,158,201,122,171,274,418,476,139,82,36
Brent 025E,E01000527,1875,104,155,176,97,95,253,407,375,122,64,27
Brent 025F,E01000528,1727,116,115,137,80,116,265,392,332,102,55,17
Brent 026A,E01000471,1717,58,78,130,73,119,316,347,386,117,67,26
Brent 026B,E01000474,2269,128,123,156,150,181,419,470,415,140,61,26
Brent 026C,E01000476,2196,126,121,122,93,188,446,403,381,175,107,34
Brent 026D,E01000477,2377,141,134,224,122,187,390,565,420,121,54,19
Brent 026E,E01000630,2728,162,141,196,106,184,544,647,494,171,50,33
Brent 027A,E01000595,1785,139,155,223,95,121,182,392,332,82,44,20
Brent 027D,E01000599,1889,107,123,164,117,132,323,428,337,93,45,20
Brent 027F,E01033456,2625,125,190,281,206,240,396,472,449,151,89,26
Brent 027G,E01033937,1167,63,74,100,53,75,194,245,248,63,34,18
Brent 027H,E01033938,1229,88,75,83,60,82,168,294,215,69,55,40
Brent 027I,E01033939,1928,238,123,100,52,110,551,560,160,21,11,2
Brent 028A,E01000545,1921,105,94,99,49,134,438,562,273,86,65,16
Brent 028B,E01000546,1643,79,63,110,49,113,355,357,334,100,62,21
Brent 028C,E01000547,1657,100,100,115,57,116,311,408,300,89,47,14
Brent 028D,E01000548,1982,89,83,111,56,121,588,470,280,112,53,19
Brent 028E,E01000549,1814,104,63,94,37,94,415,493,325,106,55,28
Brent 029A,E01000472,2404,186,175,172,109,119,516,677,287,85,60,18
Brent 029B,E01000473,2705,151,152,208,206,234,453,691,379,133,64,34
Brent 029C,E01000475,2126,128,148,145,87,142,365,557,337,122,70,25
Brent 029D,E01000478,2529,184,155,168,118,173,483,597,372,153,96,30
Brent 029E,E01000632,2482,130,130,166,143,220,476,501,427,156,101,32
Brent 030A,E01000489,1727,82,81,118,91,95,286,348,318,182,73,53
Brent 030B,E01000491,2064,109,96,154,100,127,396,475,387,129,63,28
Brent 030C,E01000492,1272,61,84,99,52,51,166,297,255,116,65,26
Brent 030D,E01000493,1595,89,73,130,62,66,219,365,326,126,93,46
Brent 030E,E01000581,1512,74,87,151,72,70,224,340,341,90,48,15
Brent 031A,E01000523,2299,140,180,221,132,131,320,558,440,103,56,18
Brent 031B,E01000524,2421,153,164,196,138,174,399,558,415,135,72,17
Brent 031C,E01000525,1853,113,123,161,92,99,296,433,361,101,56,18
Brent 031E,E01000533,2174,126,135,182,105,177,275,488,451,118,77,40
Brent 031F,E01000535,2052,122,121,143,80,132,341,497,398,107,88,23
Brent 031G,E01033455,1148,92,60,86,59,64,180,253,249,68,27,10
Brent 031H,E01033485,1637,75,82,116,81,149,274,352,345,92,47,24
Brent 032A,E01000579,1587,92,77,94,56,82,312,385,319,101,47,22
