LSOA code,LSOA name,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
E01000301,Barnet 020C,55,370,15,120,c
E01000302,Barnet 019C,25,55,50,745,c
E01000303,Barnet 020D,25,315,100,120,c
E01000304,Barnet 020E,15,120,85,405,c
E01000305,Barnet 036B,35,165,25,460,c
E01000306,Barnet 036C,35,135,200,275,c
E01000307,Barnet 039D,25,275,150,115,c
E01000308,Barnet 036D,10,55,110,895,c
E01000309,Barnet 031D,215,140,20,370,c
E01000310,Barnet 034C,130,215,85,480,c
E01000311,Barnet 034D,255,145,c,160,c
E01000312,Barnet 036E,30,175,300,230,c
E01000313,Barnet 036F,45,65,100,565,c
E01000314,Barnet 032F,220,125,15,460,c
E01000315,Barnet 022F,35,230,225,160,c
E01000316,Barnet 027E,15,160,200,550,c
E01000317,Barnet 019D,20,160,65,440,c
E01000318,Barnet 019E,25,330,190,105,c
E01000319,Barnet 027F,25,145,250,105,c
E01000320,Barnet 011D,55,180,175,435,c
E01000321,Barnet 012E,15,100,205,525,c
E01000322,Barnet 011E,35,115,25,650,c
E01000323,Barnet 019F,10,100,105,845,c
E01000324,Barnet 015F,35,255,145,235,c
E01000325,Bexley 014A,25,535,c,30,c
E01000326,Bexley 014B,c,120,400,35,c
E01000327,Bexley 017A,105,425,30,80,c
E01000328,Bexley 017B,75,335,115,100,c
E01000329,Bexley 017C,30,400,65,180,c
E01000330,Bexley 017D,45,240,205,320,c
E01000331,Bexley 017E,20,375,120,120,c
E01000332,Bexley 005A,75,265,130,170,c
E01000333,Bexley 003A,60,115,220,475,c
E01000334,Bexley 006A,45,290,235,95,c
E01000335,Bexley 003B,45,230,260,565,c
E01000336,Bexley 003C,25,90,160,570,c
E01000337,Bexley 003D,35,175,255,210,c
E01000338,Bexley 003E,50,185,260,225,c
E01000339,Bexley 025A,35,400,145,40,c
E01000340,Bexley 018A,65,255,265,65,c
E01000341,Bexley 022A,80,340,140,75,c
E01000342,Bexley 022B,15,100,445,100,c
E01000343,Bexley 022C,40,320,155,65,c
E01000344,Bexley 025B,35,405,150,65,c
E01000345,Bexley 022D,25,320,155,c,c
E01000346,Bexley 021A,15,210,400,c,c
E01000347,Bexley 021B,10,145,400,100,c
E01000348,Bexley 020A,85,440,c,c,c
